section_id_filled,office_id,year_num,ka,ka_group_filled,norm_kyoku_filled,kyoku_group_filled,n_drafted_male,transfers_in,new_hires,n_workers,slack_different_department,slack_same_department,slack_same_section,transfer_share,any_slack_same_section,log_slack_same_section,log_slack_same_department,log_slack_different_department,log_section_size
6015_grp_39,6015,1944,公園緑地課,39,計晝局,NA,40,53,0,112,0,0,13,1,1,2.6390573296152584,0,0,4.727387818712341
6016_grp_1355,6016,1944,公園緑地課道路課,1355,計晝局,NA,1,0,0,2,0,0,0,NA,0,0,0,0,1.0986122886681098
6134_name_厚生課,6134,1944,厚生課,NA,民生局,welfare,34,46,0,117,0,0,0,1,0,0,0,0,4.770684624465665
6135_name_厚生課健民課,6135,1944,厚生課健民課,NA,民生局,welfare,4,6,0,18,0,0,0,1,0,0,0,0,2.9444389791664403
6151_grp_1470,6151,1944,合〓山垣島山場,1470,経済局,economy,1,4,0,24,0,0,0,1,0,0,0,0,3.2188758248682006
6197_grp_6,6197,1944,河川課,6,計晝局,NA,24,33,0,154,0,0,3,1,1,1.3862943611198906,0,0,5.043425116919247
6215_grp_12,6215,1944,商工課,12,経済局,economy,33,33,42,154,205,10,0,0.44,0,0,2.3978952727983707,5.327876168789581,5.043425116919247
6365_name_missing,6365,1944,NA,NA,学校体育課経済局,NA,5,19,0,32,0,0,0,1,0,0,0,0,3.4965075614664802
6508_grp_514,6508,1944,工事課,514,港湾局,port,14,18,6,34,0,15,0,0.75,0,0,2.772588722239781,0,3.5553480614894135
6597_grp_179,6597,1944,庶務課,179,教育局,education,6,9,24,42,0,0,0,0.2727272727272727,0,0,0,0,3.7612001156935624
6597_grp_2,6597,1944,庶務課,2,計晝局,NA,23,9,24,58,0,0,0,0.2727272727272727,0,0,0,0,4.07753744390572
6601_grp_800,6601,1944,庶務課都市計画課,800,計晝局,NA,10,1,0,23,0,0,0,1,0,0,0,0,3.1780538303479458
6673_name_健民課,6673,1944,健民課,NA,民生局,welfare,7,10,0,24,226,31,0,1,0,0,3.4657359027997265,5.424950017481403,3.2188758248682006
6683_name_振興課,6683,1944,振興課,NA,民生局,welfare,11,16,0,54,200,26,0,1,0,0,3.295836866004329,5.303304908059076,4.007333185232471
6684_name_振興課厚生課,6684,1944,振興課厚生課,NA,民生局,welfare,2,3,0,27,226,31,0,1,0,0,3.4657359027997265,5.424950017481403,3.332204510175204
6704_grp_128,6704,1944,教育第二課,128,教育局,education,7,8,0,35,0,0,0,1,0,0,0,0,3.58351893845611
6712_name_文書課,6712,1944,文書課,NA,長官官房,finance_admin,13,24,13,50,0,0,0,0.6486486486486487,0,0,0,0,3.9318256327243257
6881_grp_679,6881,1944,林務課,679,経済局,economy,1,1,0,11,0,0,0,1,0,0,0,0,2.4849066497880004
6882_grp_717,6882,1944,林務課食料課,717,経済局,economy,3,1,0,21,0,0,0,1,0,0,0,0,3.091042453358316
6955_grp_446,6955,1944,水道局下水課,446,水道局,water,33,17,0,70,0,0,0,1,0,0,0,0,4.2626798770413155
6959_grp_132,6959,1944,水道局工事課,132,水道局,water,43,40,0,78,205,42,0,1,0,0,3.7612001156935624,5.327876168789581,4.3694478524670215
6960_grp_61,6960,1944,水道局庶務課,61,水道局,water,2,3,9,17,205,42,0,0.25,0,0,3.7612001156935624,5.327876168789581,2.8903717578961645
6961_grp_452,6961,1944,水道局庶務課業務課,452,水道局,water,5,17,0,31,0,0,0,1,0,0,0,0,3.4657359027997265
6963_grp_754,6963,1944,水道局業務課,754,水道局,water,5,14,0,27,0,0,0,1,0,0,0,0,3.332204510175204
6964_grp_907,6964,1944,水道局業務課給水課,907,水道局,water,5,2,0,13,0,0,0,1,0,0,0,0,2.6390573296152584
7000_grp_6,7000,1944,河川課,6,計晝局,NA,6,2,7,11,0,0,0,0.2222222222222222,0,0,0,0,2.4849066497880004
7048_name_清掃課,7048,1944,清掃課,NA,民生局,welfare,90,127,96,272,67,1,0,0.5695067264573991,0,0,0.6931471805599453,4.219507705176107,5.60947179518496
7052_name_清日課,7052,1944,清日課,NA,民生局,welfare,22,21,0,55,226,31,0,1,0,0,3.4657359027997265,5.424950017481403,4.02535169073515
7060_grp_2,7060,1944,庶務課,2,計晝局,NA,11,6,0,30,0,0,0,1,0,0,0,0,3.4339872044851463
7069_grp_14,7069,1944,港湾局工事課,14,港湾局,port,54,33,0,104,0,0,0,1,0,0,0,0,4.653960350157523
7144_name_用度課,7144,1944,用度課,NA,長官官房,finance_admin,28,31,0,137,257,0,0,1,0,0,0,5.552959584921617,4.927253685157205
7145_name_用度課考査課,7145,1944,用度課考査課,NA,長官官房,finance_admin,1,2,0,2,0,0,0,1,0,0,0,0,1.0986122886681098
7259_name_東京都本所防疫所,7259,1944,東京都本所防疫所,NA,民生局,welfare,1,1,1,3,0,0,0,0.5,0,0,0,0,1.3862943611198906
7439_name_翳生課,7439,1944,翳生課,NA,民生局,welfare,1,2,0,25,0,0,0,1,0,0,0,0,3.258096538021482
7440_name_考査課,7440,1944,考査課,NA,長官官房,finance_admin,3,11,0,18,0,0,0,1,0,0,0,0,2.9444389791664403
7446_name_missing,7446,1944,NA,NA,長官官房,finance_admin,5,17,0,30,0,0,0,1,0,0,0,0,3.4339872044851463
7506_name_厚生課,7506,1944,厚生課,NA,民生局,welfare,4,13,3,23,0,0,0,0.8125,0,0,0,0,3.1780538303479458
7528_grp_133,7528,1944,教育第一課,133,教育局,education,1,12,0,20,220,36,1,1,1,0.6931471805599453,3.6109179126442243,5.3981627015177525,3.044522437723423
7564_grp_12,7564,1944,商工課,12,経済局,economy,6,4,6,13,205,10,0,0.4,0,0,2.3978952727983707,5.327876168789581,2.6390573296152584
7566_grp_905,7566,1944,西部田田課,905,水道局,water,6,18,0,35,0,0,0,1,0,0,0,0,3.58351893845611
7576_grp_24,7576,1944,企画課,24,計晝局,NA,43,55,0,108,0,0,43,1,1,3.784189633918261,0,0,4.6913478822291435
7638_name_財務課,7638,1944,財務課,NA,長官官房,finance_admin,11,13,15,55,226,0,0,0.4642857142857143,0,0,0,5.424950017481403,4.02535169073515
7644_name_資材課計画局庶務課,7644,1944,資材課計画局庶務課,NA,経済局,economy,2,1,0,10,0,0,0,1,0,0,0,0,2.3978952727983707
7677_grp_46,7677,1944,農務課,46,経済局,economy,3,2,0,30,0,0,0,1,0,0,0,0,3.4339872044851463
7697_grp_5,7697,1944,道路課,5,計晝局,NA,109,76,56,192,0,0,0,0.5757575757575758,0,0,0,0,5.262690188904886
7715_grp_47,7715,1944,都市計画課,47,計晝局,NA,8,9,11,24,0,0,0,0.45,0,0,0,0,3.2188758248682006
7789_grp_754,7789,1944,水道局業務課,754,水道局,water,1,3,5,8,0,0,0,0.375,0,0,0,0,2.1972245773362196
7796_name_防疫課,7796,1944,防疫課,NA,民生局,welfare,14,15,0,72,235,58,1,1,1,0.6931471805599453,4.07753744390572,5.4638318050256105,4.290459441148391
7859_grp_180,7859,1944,食料課,180,経済局,economy,3,4,0,29,205,7,3,1,1,1.3862943611198906,2.0794415416798357,5.327876168789581,3.4011973816621555
8219_grp_80,8219,1944,交通局電気課,80,交通局,transport,8,20,18,39,0,0,0,0.5263157894736842,0,0,0,0,3.6888794541139363
8330_name_文書課,8330,1944,文書課,NA,長官官房,finance_admin,18,26,30,85,0,0,0,0.4642857142857143,0,0,0,0,4.454347296253507
8358_grp_2,8358,1944,庶務課,2,計晝局,NA,15,4,19,26,0,0,0,0.17391304347826086,0,0,0,0,3.295836866004329
8358_grp_825,8358,1944,教習所,825,交通局,transport,1,2,2,5,0,0,0,0.5,0,0,0,0,1.791759469228055
8514_name_財務課,8514,1944,財務課,NA,長官官房,finance_admin,6,14,3,29,0,0,0,0.8235294117647058,0,0,0,0,3.4011973816621555
8529_name_missing,8529,1944,NA,NA,計晝局,NA,3,4,0,9,0,0,0,1,0,0,0,0,2.302585092994046
8534_grp_594,8534,1944,戸所,594,交通局,transport,2,11,9,30,0,0,0,0.55,0,0,0,0,3.4339872044851463
8656_name_防疫課,8656,1944,防疫課,NA,民生局,welfare,6,3,0,61,9,27,1,1,1,0.6931471805599453,3.332204510175204,2.302585092994046,4.127134385045092
8669_name_missing,8669,1944,NA,NA,水道局,water,5,3,9,12,0,0,0,0.25,0,0,0,0,2.5649493574615367
8709_name_防疫課,8709,1944,防疫課,NA,民生局,welfare,6,1,0,8,0,0,0,1,0,0,0,0,2.1972245773362196
8713_name_missing,8713,1944,NA,NA,計晝局,NA,3,4,6,11,0,0,0,0.4,0,0,0,0,2.4849066497880004
8910_grp_680,8910,1944,西室,680,交通局,transport,2,5,0,11,0,0,0,1,0,0,0,0,2.4849066497880004
8994_name_missing,8994,1944,NA,NA,経済局,economy,17,0,0,200,0,0,0,NA,0,0,0,0,5.303304908059076
8994_name_missing,8994,1944,NA,NA,計晝局,NA,4,0,0,200,0,0,0,NA,0,0,0,0,5.303304908059076
